player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0026210,Earl Bennett,22,3,7,71,209,2009,2010,0.61,88,8.15,0.02,8.69,3.43,0.36,0,0,0,0,0,0.15630550621669628,0.16612377850162866,0.18875,0.36735728212634733,0.07407407407407407,0.18823529411764706,0.17258883248730963,0.13453499733075475,0.17081155128476316,1.2735346358792186,0.11509779757954938,9.11,7.56,-0.17,0
00-0026210,Earl Bennett,23,3,7,71,209,2010,2011,0.66,70,8.01,0.04,8.01,2.93,0.39,2,4.50,0.00,0.50,0.31,0.17857142857142858,0.1579391891891892,0.17343485617597293,0.39420849420849424,0.14285714285714285,0.19285714285714287,0.18633540372670807,0.1696084804240212,0.18565928296414824,1.4311224489795917,0.11927292800252345,7.56,6.01,-0.21,0
00-0026210,Earl Bennett,24,3,7,71,209,2011,2012,0.56,43,8.86,0.02,11.95,2.91,0.33,0,0,0,0,0,0.13522012578616352,0.17878260869565218,0.14351320321469574,0.34585627563576704,0.08333333333333333,0.13592233009708737,0.13043478260869565,0.12825757575757576,0.15521212121212122,1.1981132075471699,0.0907967032967033,6.01,6.54,0.09,0
00-0026210,Earl Bennett,25,3,7,71,209,2012,2013,0.59,49,7.65,0.04,8.27,3.82,0.41,0,0,0,0,0,0.14080459770114942,0.12096774193548387,0.21922626025791325,0.30798109010011127,0.14285714285714285,0.18018018018018017,0.176,0.15395497987927564,0.16061368209255533,1.0775862068965518,0.09319941112219216,6.54,5.88,-0.10,0
00-0026210,Earl Bennett,26,3,7,71,209,2013,,0.74,43,5.65,0.09,7.60,1.42,0.30,0,0,0,0,0,0.08365758754863813,0.07435197817189632,0.0399737876802097,0.18496796386047426,0.14285714285714285,0.06770833333333333,0.07727272727272727,0.10217249855407749,0.07776171197223829,0.4727626459143969,0.06021011354325178,5.88,,,0
00-0034593,Chris Lacy,22,8,32,75,206,2018,2019,0.00,1,0.00,0.00,9.00,0.00,0.00,0,0,0,0,0,0.030303030303030304,0.04225352112676056,0,0.0792573623559539,0,0,0,0,0,0,0,0.00,3.00,,0
00-0034593,Chris Lacy,23,8,32,75,206,2019,,0.30,10,6.00,0.00,13.40,0.90,0.20,0,0,0,0,0,0.10309278350515463,0.15192743764172337,0.052941176470588235,0.27618112537111067,0,0.08695652173913043,0.08,0.05791505791505792,0.09266409266409267,0.6185567010309279,0.0476896990250106,3.00,,,0
00-0026221,Early Doucet,23,3,18,72,212,2008,2009,1.00,14,6.43,0.00,2.29,4.14,0.43,0,0,0,0,0,0.07253886010362694,0.0223463687150838,0.11670020120724346,0.12668538512750746,0,0.08823529411764706,0.0759493670886076,0.03235082674335011,0.05176132278936018,0.46632124352331605,0.0469828818891204,3.83,4.04,0.05,0
00-0026221,Early Doucet,24,3,18,72,212,2009,2010,0.71,24,8.92,0.04,8.33,4.46,0.50,0,0,0,0,0,0.07947019867549669,0.07858546168958742,0.12008978675645342,0.18207366736491498,0.058823529411764705,0.10526315789473684,0.09923664122137404,0.07705201403802839,0.0879891048137866,0.7086092715231788,0.05448253859179817,4.04,6.16,0.52,0
00-0026221,Early Doucet,25,3,18,72,212,2010,2011,0.44,59,4.93,0.02,8.53,1.36,0.17,2,2.50,0.00,0.50,-0.23,0.16076294277929154,0.13701988558975756,0.11142061281337047,0.35076032264074336,0.14285714285714285,0.09615384615384616,0.0990990990990991,0.13658755038065384,0.13282579489476043,0.7929155313351499,0.09182791210756984,6.16,9.56,0.55,0
