player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0027732,Michael Hoomanawanui,23,5,1,76,265,2011,2012,0.54,13,6.38,0.00,8.23,4.69,0.31,0,,,,,0.06018518518518518,0.05947748749305169,0.10815602836879433,0.13785976777221914,0,0.06451612903225806,0.05970149253731343,0.03496208930075821,0.05593934288121314,0.38425925925925924,0.039293235399866455,2.55,2.65,0.04,0
00-0027732,Michael Hoomanawanui,24,5,1,76,265,2012,2013,0.71,7,15.57,0.00,11.57,6.86,0.57,0,,,,,0.02702702702702703,0.03986220472440945,0.05442176870748299,0.07243030432006811,0,0.039603960396039604,0.035398230088495575,0.028881822999470057,0.046210916799152096,0.42084942084942084,0.023863841027796123,2.65,2.63,-0.01,0
00-0027732,Michael Hoomanawanui,25,5,1,76,265,2013,2014,0.63,19,7.16,0.05,6.84,4.37,0.37,0,,,,,0.04922279792746114,0.04117833386126069,0.06520031421838178,0.10677686398020025,0.06666666666666667,0.05343511450381679,0.0547945205479452,0.06,0.05600000000000001,0.35233160621761656,0.03446019629225736,2.63,0.82,-0.69,0
00-0027732,Michael Hoomanawanui,26,5,1,76,265,2014,2015,0.50,6,7.33,0.00,14.00,0.83,0.33,0,,,,,0.031413612565445025,0.04789053591790194,0.008090614886731391,0.08543284758248909,0,0.029411764705882353,0.02531645569620253,0.014976174268209666,0.023961878829135468,0.23036649214659685,0.013072819135780659,0.82,3.84,3.68,1
00-0027732,Michael Hoomanawanui,27,5,1,76,265,2015,,0.69,16,4.75,0.19,4.81,1.56,0.25,1,0.00,0.00,0.00,-0.41,0.03695150115473441,0.020980926430517712,0.016744809109176157,0.07221199287651578,0.125,0.024539877300613498,0.0374331550802139,0.07366005873715124,0.042856093979442,0.17551963048498845,0.03018670389111848,3.84,,,0
00-0027732,Michael Hoomanawanui,29,5,1,76,265,2017,,0.60,10,5.20,0.10,7.10,2.70,0.20,0,,,,,0.04184100418410042,0.05100574712643678,0.02716297786720322,0.10356610397730005,0.08333333333333333,0.02247191011235955,0.0297029702970297,0.056489927784112506,0.04038388445458001,0.2175732217573222,0.024817476120393613,2.46,,,0
00-0027873,Jermaine Gresham,22,1,21,77,260,2010,2011,0.63,83,5.67,0.05,3.67,4.36,0.31,0,,,,,0.15229357798165138,0.06490742711215153,0.23415265200517466,0.2803663086621983,0.16,0.13541666666666666,0.1382488479262673,0.14394243822970404,0.1343079011675265,0.8642201834862385,0.09896930424016336,8.21,9.97,0.21,0
00-0027873,Jermaine Gresham,23,1,21,77,260,2011,2012,0.61,92,6.48,0.07,7.76,2.07,0.34,0,,,,,0.19700214132762311,0.1801665404996215,0.15459723352318958,0.4396364443911319,0.375,0.22142857142857142,0.23717948717948717,0.2829516335682255,0.22772261370916083,1.2762312633832977,0.14264192681019855,9.97,9.75,-0.02,0
00-0027873,Jermaine Gresham,24,1,21,77,260,2012,2013,0.68,94,7.84,0.05,6.65,4.39,0.35,0,,,,,0.17407407407407408,0.13351847895748772,0.24365781710914455,0.3679258942771013,0.17857142857142858,0.1907514450867052,0.1890547263681592,0.1860810912229352,0.1905868888138392,1.364814814814815,0.12324467452100439,9.75,7.32,-0.25,0
00-0027873,Jermaine Gresham,25,1,21,77,260,2013,2014,0.69,67,6.84,0.06,6.22,3.96,0.36,0,,,,,0.134,0.10002398656752219,0.1456844420010995,0.28101918925401775,0.13793103448275862,0.13333333333333333,0.1339712918660287,0.1298212174805502,0.12495532727922513,0.916,0.08279169368581382,7.32,9.20,0.26,0
00-0027873,Jermaine Gresham,26,1,21,77,260,2014,2015,0.78,79,5.82,0.06,4.32,3.22,0.30,0,,,,,0.1649269311064718,0.09409492273730684,0.14631336405529954,0.32266633484955315,0.25,0.1518987341772152,0.16292134831460675,0.19197728596389052,0.15716365754222483,0.9603340292275574,0.11200753210070939,9.20,3.56,-0.61,0
00-0027873,Jermaine Gresham,27,1,21,77,260,2015,2016,0.56,32,6.97,0.03,8.13,2.31,0.41,0,,,,,0.06911447084233262,0.05279187817258883,0.05327573794096472,0.14590520880156999,0.03571428571428571,0.06806282722513089,0.0639269406392694,0.04663876392064312,0.05319345084445756,0.4816414686825054,0.03547457782953814,3.56,5.51,0.55,1
00-0027873,Jermaine Gresham,28,1,21,77,260,2016,2017,0.61,61,6.41,0.03,7.41,2.26,0.31,0,,,,,0.09442724458204334,0.07285622179239201,0.07899255867200916,0.19992584430697863,0.07142857142857142,0.08296943231441048,0.08171206225680934,0.07989507667473769,0.08497497982243746,0.6052631578947368,0.05781978079674477,5.51,5.51,0.00,0
00-0027873,Jermaine Gresham,29,1,21,77,260,2017,2018,0.72,46,7.00,0.04,6.43,2.96,0.37,0,,,,,0.08829174664107485,0.05850958687487646,0.10785091197462332,0.17924528946151344,0.1,0.09550561797752809,0.09595959595959595,0.09655870445344131,0.09449392712550608,0.6180422264875239,0.07016140759051913,5.51,2.05,-0.63,0
00-0027873,Jermaine Gresham,30,1,21,77,260,2018,,0.75,12,7.83,0.00,2.00,6.25,0.50,0,,,,,0.05042016806722689,0.012698412698412698,0.099601593625498,0.0857889822595705,0,0.08,0.07058823529411765,0.029765674477517417,0.04762507916402787,0.3949579831932773,0.03157124706425903,2.05,,,0
00-0027981,Kyle Rudolph,22,2,11,78,265,2011,2012,0.67,39,6.38,0.08,7.31,2.26,0.36,0,,,,,0.08405172413793104,0.06874095513748191,0.0701195219123506,0.18107035031688207,0.15789473684210525,0.09722222222222222,0.10429447852760736,0.12187840290381124,0.10026860254083485,0.5366379310344828,0.06268195050946143,4.92,9.31,0.89,1
00-0027981,Kyle Rudolph,23,2,11,78,265,2012,2013,0.56,94,5.24,0.10,6.43,2.93,0.36,0,,,,,0.19461697722567287,0.180622009569378,0.17080745341614906,0.4364230734940117,0.5,0.2085889570552147,0.23756906077348067,0.3339863713798978,0.23437819420783645,1.020703933747412,0.12950994027652787,9.31,9.91,0.06,0
00-0027981,Kyle Rudolph,24,2,11,78,265,2013,2014,0.65,46,6.80,0.07,8.33,2.59,0.26,0,,,,,0.16428571428571428,0.1555014210312627,0.14583333333333334,0.3708297082535816,0.5,0.14634146341463414,0.17045454545454544,0.3393774985722444,0.2430039977155911,1.1178571428571429,0.1274223093485876,9.91,8.44,-0.15,0
00-0027981,Kyle Rudolph,25,2,11,78,265,2014,2015,0.71,34,6.79,0.06,5.74,3.41,0.38,0,,,,,0.15668202764976957,0.13703443429374562,0.125,0.34465058890965083,0.18181818181818182,0.18055555555555555,0.18072289156626506,0.1655697243932538,0.155820649938297,1.064516129032258,0.10928658604238323,8.44,7.56,-0.10,0
00-0027981,Kyle Rudolph,26,2,11,78,265,2015,2016,0.67,73,6.78,0.07,8.33,2.78,0.34,0,,,,,0.16079295154185022,0.18576229758631224,0.1122787610619469,0.3897992653818251,0.35714285714285715,0.16339869281045752,0.17964071856287425,0.2548191180353842,0.19342487457090046,1.0903083700440528,0.10659123712195365,7.56,13.06,0.73,1
00-0027981,Kyle Rudolph,27,2,11,78,265,2016,2017,0.63,132,6.36,0.05,6.48,2.72,0.38,0,,,,,0.22448979591836735,0.22096024780588538,0.1768472906403941,0.5135028921222593,0.35,0.23923444976076555,0.24890829694323144,0.27696649672250545,0.23314639475600873,1.4285714285714286,0.15354550530429925,13.06,8.79,-0.33,0
00-0027981,Kyle Rudolph,28,2,11,78,265,2017,2018,0.70,81,6.57,0.10,7.41,2.77,0.40,0,,,,,0.15370018975332067,0.14977533699450823,0.11318847902981304,0.3503705542255876,0.32,0.16326530612244897,0.18099547511312217,0.22770170526851619,0.17232272842962587,1.0094876660341556,0.11134885554210422,8.79,9.46,0.08,0
00-0027981,Kyle Rudolph,29,2,11,78,265,2018,2019,0.78,82,7.73,0.05,6.35,3.04,0.39,0,,,,,0.1353135313531353,0.11851683348498634,0.12788906009244994,0.29778376381769206,0.13333333333333333,0.14678899082568808,0.14516129032258066,0.14042190165968665,0.1446750426554987,1.046204620462046,0.10079759257533188,9.46,6.69,-0.29,0
00-0027981,Kyle Rudolph,30,2,11,78,265,2019,2020,0.81,48,7.65,0.13,6.42,3.96,0.50,0,,,,,0.10786516853932585,0.0905083749632677,0.10620458356623812,0.23420445277960295,0.23076923076923078,0.14545454545454545,0.15706806282722513,0.16631439612288906,0.127641495335084,0.8247191011235955,0.08426466664690363,6.69,5.45,-0.19,0
00-0027981,Kyle Rudolph,31,2,11,78,265,2020,2021,0.76,37,9.03,0.03,7.05,4.43,0.43,0,,,,,0.10192837465564739,0.08189519924694069,0.12693498452012383,0.21840872138102363,0.038461538461538464,0.10738255033557047,0.09714285714285714,0.07357505819920399,0.09464317004180331,0.9201101928374655,0.055564051587908454,5.45,3.98,-0.27,0
00-0027981,Kyle Rudolph,32,2,11,78,265,2021,,0.67,39,6.59,0.03,6.15,3.51,0.31,0,,,,,0.07386363636363637,0.06042296072507553,0.10014619883040936,0.159133823125515,0.07142857142857142,0.08163265306122448,0.08074534161490683,0.07861912711662294,0.08293346052945387,0.48674242424242425,0.05904460488576798,3.98,,,0
00-0027985,Lance Kendricks,23,2,15,75,250,2011,2012,0.47,59,5.97,0.00,7.08,3.14,0.25,1,-8.00,0.00,0.00,-1.80,0.11259541984732824,0.0898731455600946,0.13993948562783662,0.24079164621906804,0,0.09933774834437085,0.09433962264150944,0.05671930389945214,0.09075088623912343,0.6717557251908397,0.06339077685187129,4.03,7.49,0.86,1
00-0027985,Lance Kendricks,24,2,15,75,250,2012,2013,0.66,64,8.11,0.06,6.70,3.52,0.39,0,,,,,0.11490125673249552,0.09358638743455497,0.1461038961038961,0.24722099504638725,0.18181818181818182,0.13227513227513227,0.13744075829383887,0.15950544301059766,0.14611779972604716,0.9317773788150808,0.09496127100790419,7.49,5.84,-0.22,0
00-0027985,Lance Kendricks,25,2,15,75,250,2013,2014,0.70,46,5.61,0.09,4.57,2.35,0.35,0,,,,,0.10176991150442478,0.06224066390041494,0.07697790449037777,0.20244739837696912,0.21052631578947367,0.1103448275862069,0.12195121951219512,0.14982274338696483,0.11340059994545951,0.5707964601769911,0.07804598797824636,5.84,5.18,-0.11,0
00-0027985,Lance Kendricks,26,2,15,75,250,2014,2015,0.71,38,6.82,0.13,5.97,2.74,0.45,0,,,,,0.07378640776699029,0.05363894139886578,0.06015037593984962,0.15359076476957806,0.25,0.08994708994708994,0.10526315789473684,0.16004736129905278,0.10607577807848445,0.5029126213592233,0.06675793203414399,5.18,4.39,-0.15,0
00-0027985,Lance Kendricks,27,2,15,75,250,2015,2016,0.63,40,6.13,0.05,5.95,3.23,0.28,0,,,,,0.0963855421686747,0.07207752877044216,0.09181494661921709,0.2022403362693658,0.18181818181818182,0.09565217391304348,0.10317460317460317,0.13762915193121145,0.11111573399902921,0.5903614457831325,0.0646497350937684,4.39,6.87,0.56,1
00-0027985,Lance Kendricks,28,2,15,75,250,2016,2017,0.57,87,5.74,0.02,4.98,3.17,0.25,0,,,,,0.1623134328358209,0.11082672126951626,0.16995073891625614,0.33213152626934433,0.14285714285714285,0.1456953642384106,0.14545454545454545,0.14673795869087147,0.14906644819110865,0.9309701492537313,0.10577274739658525,6.87,4.03,-0.41,0
00-0027985,Lance Kendricks,29,2,15,75,250,2017,2018,0.51,35,5.80,0.03,7.43,2.54,0.23,0,,,,,0.08928571428571429,0.08834522595990486,0.0717163577759871,0.20460475219649532,0.05555555555555555,0.064,0.06293706293706294,0.0685572072675327,0.07635819829471899,0.5178571428571429,0.047770013802622496,4.03,3.23,-0.20,0
00-0027985,Lance Kendricks,30,2,15,75,250,2018,2019,0.76,25,6.80,0.04,5.64,4.48,0.36,0,,,,,0.04734848484848485,0.02991725015913431,0.05960617349654071,0.09495652740003471,0.047619047619047616,0.05263157894736842,0.052083333333333336,0.04552643745285544,0.04427087135314013,0.32196969696969696,0.0331110165082068,3.23,2.00,-0.38,0
00-0027985,Lance Kendricks,31,2,15,75,250,2019,,0.43,7,7.14,0.00,10.57,1.00,0.43,0,,,,,0.04487179487179487,0.055891238670694864,0.014141414141414142,0.1120206832442482,0,0.05172413793103448,0.046875,0.023741690408357077,0.037986704653371325,0.32051282051282054,0.02287544321171223,2.00,,,0
00-0028007,Robert Housler,23,3,5,77,250,2011,2012,0.46,26,5.12,0.00,9.92,1.88,0.19,0,,,,,0.09454545454545454,0.10205696202531646,0.05263157894736842,0.223463751438435,0,0.05555555555555555,0.05,0.03300248138957816,0.05280397022332506,0.48363636363636364,0.0368437697659709,2.91,6.67,1.29,1
