player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0028000,Daniel Thomas,27,2,30,73,235,2014,,0.68,19,6.37,0.00,1.00,6.42,0.42,44,3.82,0.05,0.20,0.04,0.01,0.09312977099236641,0.06971728730247921,0,0.048484848484848485,0.04371584699453552,0.020119720651812438,0.032191553042899904,0.2775229357798165,0.05071127502634351,4.90,,,0
00-0028034,Alex Green,23,3,32,74,220,2011,2012,1.00,1,6.00,0.00,-8.00,14.00,1.00,3,3.67,0.00,0.00,0.01,-0.01,0.03636363636363636,0.01040318302387268,0,0.03125,0.02631578947368421,0.0037313432835820895,0.005970149253731343,0.07692307692307693,0.010784470362677745,2.70,7.69,1.85,1
00-0028034,Alex Green,24,3,32,74,220,2012,2013,0.62,29,4.31,0.00,-1.14,5.45,0.17,135,3.44,0.00,0.13,0.08,-0.01,0.12440944881889764,0.11398647722600393,0,0.03875968992248062,0.03205128205128205,0.022473930240920533,0.03595828838547285,0.3531073446327684,0.07491183977243947,7.69,1.58,-0.79,0
00-0028034,Alex Green,25,3,32,74,220,2013,,1.00,2,4.00,0.00,-4.50,8.50,0.00,11,3.18,0.00,0.18,0.02,-0.01,0.04509283819628647,0.0171875,0,0,0,0.003937007874015748,0.006299212598425197,0.0625,0.020572100313479627,1.58,,,0
00-0028057,Delone Carter,24,4,22,69,232,2011,2012,0.63,8,2.25,0.00,-2.13,4.25,0.00,101,3.73,0.02,0.19,0.02,0.00,0.027914614121510674,0.020394372275266158,0,0,0,0.003003003003003003,0.0048048048048048055,0.03564356435643564,0.05187574475079097,3.37,4.64,0.38,0
00-0028057,Delone Carter,25,4,22,69,232,2012,,0.50,2,6.50,0.00,2.50,5.50,0.50,32,3.81,0.09,0.34,0.01,0.00,0.015691868758915834,0.012511573679337397,0,0.01020408163265306,0.009615384615384616,0.0033282130056323605,0.005325140809011777,0.048327137546468404,0.0556869195709537,4.64,,,0
00-0028068,Jamie Harper,22,4,33,71,233,2011,2012,0.67,6,5.33,0.00,3.00,6.00,0.17,17,2.59,0.06,0.24,0.02,0.01,0.036072144288577156,0.03697317510192423,0,0.010416666666666666,0.009174311926605505,0.007718282682103232,0.012349252291365173,0.10996563573883161,0.02395871728713601,2.23,3.80,0.70,0
00-0028068,Jamie Harper,23,4,33,71,233,2012,,1.00,1,8.00,0.00,3.00,5.00,0.00,19,1.58,0.16,0.21,0.00,0.00,0.01059322033898305,0.008805719583392494,0,0,0,0.0031620553359683794,0.005059288537549407,0.03980099502487562,0.04945770065075922,3.80,,,0
00-0028115,Evan Royster,24,6,12,72,207,2011,2012,0.69,13,5.23,0.00,1.15,4.77,0.31,56,5.86,0.00,0.30,0.06,0.01,0.08882521489971347,0.0928228021978022,0,0.05263157894736842,0.047058823529411764,0.021780909673286355,0.03484945547725817,0.30357142857142855,0.09568059219592867,9.72,3.89,-0.60,0
00-0028115,Evan Royster,25,6,12,72,207,2012,2013,0.65,23,4.74,0.00,0.30,5.00,0.09,23,3.83,0.09,0.35,0.06,0.00,0.07666666666666666,0.08469940197274829,0,0.01282051282051282,0.011363636363636364,0.016210588935157644,0.025936942296252232,0.26265060240963856,0.03590429621428791,3.89,1.30,-0.67,0
